Fold 0 | Precision: 0.9068 | Recall: 0.8325 | F1 Score: 0.8630 | F1 Weighted Score: 0.8798 | ACC: 0.8824 | ARI: 0.7297 | MCC: 0.8142 | AUC: 0.9746 | PR AUC: 0.9276 | DBI: 0.5834 | SS: 0.4964
Fold 1 | Precision: 0.9445 | Recall: 0.8681 | F1 Score: 0.8885 | F1 Weighted Score: 0.9242 | ACC: 0.9254 | ARI: 0.8068 | MCC: 0.8861 | AUC: 0.9670 | PR AUC: 0.9474 | DBI: 0.4618 | SS: 0.5106
Fold 2 | Precision: 0.8163 | Recall: 0.8143 | F1 Score: 0.7930 | F1 Weighted Score: 0.8822 | ACC: 0.8806 | ARI: 0.7395 | MCC: 0.7994 | AUC: 0.9860 | PR AUC: 0.9557 | DBI: 0.7608 | SS: 0.4191
Fold 3 | Precision: 0.7317 | Recall: 0.6977 | F1 Score: 0.7030 | F1 Weighted Score: 0.8117 | ACC: 0.8209 | ARI: 0.6120 | MCC: 0.7237 | AUC: 0.9533 | PR AUC: 0.8692 | DBI: 0.4542 | SS: 0.5847
Fold 4 | Precision: 0.8574 | Recall: 0.7216 | F1 Score: 0.7610 | F1 Weighted Score: 0.7809 | ACC: 0.7910 | ARI: 0.5340 | MCC: 0.6759 | AUC: 0.9314 | PR AUC: 0.8382 | DBI: 0.5513 | SS: 0.4774
Fold 5 | Precision: 0.7000 | Recall: 0.7283 | F1 Score: 0.7124 | F1 Weighted Score: 0.8735 | ACC: 0.8806 | ARI: 0.6852 | MCC: 0.8185 | AUC: 0.9832 | PR AUC: 0.9440 | DBI: 0.6193 | SS: 0.4783
Fold 6 | Precision: 0.8284 | Recall: 0.7052 | F1 Score: 0.7333 | F1 Weighted Score: 0.8151 | ACC: 0.8209 | ARI: 0.6205 | MCC: 0.7268 | AUC: 0.9475 | PR AUC: 0.8788 | DBI: 0.5574 | SS: 0.5279
Fold 7 | Precision: 0.7147 | Recall: 0.6140 | F1 Score: 0.6381 | F1 Weighted Score: 0.8369 | ACC: 0.8507 | ARI: 0.6776 | MCC: 0.7648 | AUC: 0.9798 | PR AUC: 0.9392 | DBI: 0.5241 | SS: 0.4907
Fold 8 | Precision: 0.8409 | Recall: 0.7547 | F1 Score: 0.7804 | F1 Weighted Score: 0.8456 | ACC: 0.8507 | ARI: 0.6539 | MCC: 0.7677 | AUC: 0.9615 | PR AUC: 0.9132 | DBI: 0.5498 | SS: 0.4912
Fold 9 | Precision: 0.6540 | Recall: 0.5990 | F1 Score: 0.6157 | F1 Weighted Score: 0.7267 | ACC: 0.7463 | ARI: 0.4553 | MCC: 0.6038 | AUC: 0.9247 | PR AUC: 0.8242 | DBI: 0.5667 | SS: 0.4064
Final Result | Precision: 0.7995 � 0.0903 | Recall: 0.7335 � 0.0834 | F1 Score: 0.7488 � 0.0832 | F1 (Weighted): 0.8377 � 0.0541 | ACC: 0.8450 � 0.0493 | ARI: 0.6515 � 0.0973 | MCC: 0.7581 � 0.0760 | AUC: 0.9609 � 0.0203 | PR AUC: 0.9038 � 0.0454 | DBI: 0.5629 � 0.0817 | SS: 0.4883 � 0.0481
