Fold 0 | Precision: 0.9583 | Recall: 0.9333 | F1 Score: 0.9407 | F1 Score (Weighted): 0.9591 | ACC: 0.9600 | ARI: 0.9212 | MCC: 0.9367 | AUC: 0.9976 | PR AUC: 0.9953 | DBI: 0.3990 | SS: 0.6791
Fold 1 | Precision: 0.9762 | Recall: 0.9167 | F1 Score: 0.9400 | F1 Score (Weighted): 0.9579 | ACC: 0.9600 | ARI: 0.8880 | MCC: 0.9348 | AUC: 0.9936 | PR AUC: 0.9895 | DBI: 0.3654 | SS: 0.6974
Fold 2 | Precision: 0.9074 | Recall: 0.8660 | F1 Score: 0.8824 | F1 Score (Weighted): 0.8804 | ACC: 0.8800 | ARI: 0.6258 | MCC: 0.8109 | AUC: 0.9808 | PR AUC: 0.9700 | DBI: 0.5785 | SS: 0.5075
Fold 3 | Precision: 1.0000 | Recall: 1.0000 | F1 Score: 1.0000 | F1 Score (Weighted): 1.0000 | ACC: 1.0000 | ARI: 1.0000 | MCC: 1.0000 | AUC: 1.0000 | PR AUC: 1.0000 | DBI: 0.5440 | SS: 0.6492
Fold 4 | Precision: 1.0000 | Recall: 1.0000 | F1 Score: 1.0000 | F1 Score (Weighted): 1.0000 | ACC: 1.0000 | ARI: 1.0000 | MCC: 1.0000 | AUC: 1.0000 | PR AUC: 1.0000 | DBI: 0.5092 | SS: 0.5781
Fold 5 | Precision: 0.9137 | Recall: 0.9137 | F1 Score: 0.9137 | F1 Score (Weighted): 0.9200 | ACC: 0.9200 | ARI: 0.7333 | MCC: 0.8344 | AUC: 0.9560 | PR AUC: 0.9009 | DBI: 0.5358 | SS: 0.6014
Fold 6 | Precision: 1.0000 | Recall: 1.0000 | F1 Score: 1.0000 | F1 Score (Weighted): 1.0000 | ACC: 1.0000 | ARI: 1.0000 | MCC: 1.0000 | AUC: 1.0000 | PR AUC: 1.0000 | DBI: 0.5417 | SS: 0.6551
Fold 7 | Precision: 1.0000 | Recall: 1.0000 | F1 Score: 1.0000 | F1 Score (Weighted): 1.0000 | ACC: 1.0000 | ARI: 1.0000 | MCC: 1.0000 | AUC: 1.0000 | PR AUC: 1.0000 | DBI: 0.4960 | SS: 0.6182
Fold 8 | Precision: 0.9744 | Recall: 0.9630 | F1 Score: 0.9671 | F1 Score (Weighted): 0.9579 | ACC: 0.9583 | ARI: 0.8474 | MCC: 0.9320 | AUC: 0.9965 | PR AUC: 0.9935 | DBI: 0.5175 | SS: 0.5648
Fold 9 | Precision: 0.9364 | Recall: 0.9364 | F1 Score: 0.9364 | F1 Score (Weighted): 0.9167 | ACC: 0.9167 | ARI: 0.7057 | MCC: 0.8613 | AUC: 0.9523 | PR AUC: 0.8963 | DBI: 0.4656 | SS: 0.5989
Final Result | Precision: 0.9666 ± 0.0345 | Recall: 0.9529 ± 0.0448 | F1 Score: 0.9580 ± 0.0399 | F1 Score (Weighted): 0.9592 ± 0.0403 | ACC: 0.9595 ± 0.0403 | ARI: 0.8721 ± 0.1328 | MCC: 0.9310 ± 0.0691 | AUC: 0.9877 ± 0.0177 | PR AUC: 0.9746 ± 0.0389 | DBI: 0.4953 ± 0.0639 | SS: 0.6150 ± 0.0544
