Fold 0 | Precision: 0.9068 | Recall: 0.8325 | F1 Score: 0.8630 | F1 Weighted Score: 0.8798 | ACC: 0.8824 | ARI: 0.7297 | MCC: 0.8142 | AUC: 0.9744 | PR AUC: 0.9271 | DBI: 0.5908 | SS: 0.4948
Fold 1 | Precision: 0.9445 | Recall: 0.8681 | F1 Score: 0.8885 | F1 Weighted Score: 0.9242 | ACC: 0.9254 | ARI: 0.8068 | MCC: 0.8861 | AUC: 0.9680 | PR AUC: 0.9473 | DBI: 0.4601 | SS: 0.5124
Fold 2 | Precision: 0.8052 | Recall: 0.7810 | F1 Score: 0.7568 | F1 Weighted Score: 0.8667 | ACC: 0.8657 | ARI: 0.7304 | MCC: 0.7758 | AUC: 0.9850 | PR AUC: 0.9531 | DBI: 0.6929 | SS: 0.4228
Fold 3 | Precision: 0.7317 | Recall: 0.6977 | F1 Score: 0.7030 | F1 Weighted Score: 0.8117 | ACC: 0.8209 | ARI: 0.6120 | MCC: 0.7237 | AUC: 0.9246 | PR AUC: 0.8462 | DBI: 0.4499 | SS: 0.5885
Fold 4 | Precision: 0.8639 | Recall: 0.7549 | F1 Score: 0.7903 | F1 Weighted Score: 0.7879 | ACC: 0.7910 | ARI: 0.5047 | MCC: 0.6764 | AUC: 0.9480 | PR AUC: 0.8577 | DBI: 0.5695 | SS: 0.5035
Fold 5 | Precision: 0.7000 | Recall: 0.7283 | F1 Score: 0.7124 | F1 Weighted Score: 0.8735 | ACC: 0.8806 | ARI: 0.6852 | MCC: 0.8185 | AUC: 0.9773 | PR AUC: 0.9301 | DBI: 0.6212 | SS: 0.4788
Fold 6 | Precision: 0.8371 | Recall: 0.7195 | F1 Score: 0.7448 | F1 Weighted Score: 0.8309 | ACC: 0.8358 | ARI: 0.6533 | MCC: 0.7510 | AUC: 0.9442 | PR AUC: 0.8701 | DBI: 0.5662 | SS: 0.5217
Fold 7 | Precision: 0.6730 | Recall: 0.6701 | F1 Score: 0.6711 | F1 Weighted Score: 0.8425 | ACC: 0.8507 | ARI: 0.6758 | MCC: 0.7668 | AUC: 0.9829 | PR AUC: 0.9473 | DBI: 0.7074 | SS: 0.5028
Fold 8 | Precision: 0.8409 | Recall: 0.7547 | F1 Score: 0.7804 | F1 Weighted Score: 0.8456 | ACC: 0.8507 | ARI: 0.6539 | MCC: 0.7677 | AUC: 0.9638 | PR AUC: 0.9145 | DBI: 0.5445 | SS: 0.4930
Fold 9 | Precision: 0.6553 | Recall: 0.6049 | F1 Score: 0.6188 | F1 Weighted Score: 0.7346 | ACC: 0.7612 | ARI: 0.4791 | MCC: 0.6269 | AUC: 0.9054 | PR AUC: 0.8168 | DBI: 0.6060 | SS: 0.4906
Final Result | Precision: 0.7958 � 0.0954 | Recall: 0.7412 � 0.0725 | F1 Score: 0.7529 � 0.0785 | F1 (Weighted): 0.8397 � 0.0502 | ACC: 0.8464 � 0.0449 | ARI: 0.6531 � 0.0954 | MCC: 0.7607 � 0.0698 | AUC: 0.9574 � 0.0251 | PR AUC: 0.9010 � 0.0465 | DBI: 0.5808 � 0.0802 | SS: 0.5009 � 0.0388
