Fold 0 | Precision: 0.9121 | Recall: 0.8073 | F1 Score: 0.8337 | F1 Weighted Score: 0.8611 | ACC: 0.8676 | ARI: 0.6698 | MCC: 0.8030 | AUC: 0.9531 | PR AUC: 0.8927 | DBI: 0.5079 | SS: 0.5105
Fold 1 | Precision: 0.8986 | Recall: 0.8231 | F1 Score: 0.8408 | F1 Weighted Score: 0.9252 | ACC: 0.9254 | ARI: 0.8462 | MCC: 0.8791 | AUC: 0.9914 | PR AUC: 0.9709 | DBI: 0.5710 | SS: 0.4773
Fold 2 | Precision: 0.9290 | Recall: 0.8833 | F1 Score: 0.9009 | F1 Weighted Score: 0.9068 | ACC: 0.9104 | ARI: 0.7917 | MCC: 0.8496 | AUC: 0.9784 | PR AUC: 0.9451 | DBI: 0.5529 | SS: 0.4936
Fold 3 | Precision: 0.8295 | Recall: 0.6507 | F1 Score: 0.7009 | F1 Weighted Score: 0.8395 | ACC: 0.8507 | ARI: 0.6594 | MCC: 0.7642 | AUC: 0.9598 | PR AUC: 0.8821 | DBI: 0.4622 | SS: 0.5179
Fold 4 | Precision: 0.7717 | Recall: 0.7845 | F1 Score: 0.7665 | F1 Weighted Score: 0.8388 | ACC: 0.8358 | ARI: 0.6489 | MCC: 0.7219 | AUC: 0.9703 | PR AUC: 0.9179 | DBI: 0.6812 | SS: 0.4092
Fold 5 | Precision: 0.8268 | Recall: 0.7949 | F1 Score: 0.7486 | F1 Weighted Score: 0.8582 | ACC: 0.8657 | ARI: 0.6986 | MCC: 0.7937 | AUC: 0.9609 | PR AUC: 0.9044 | DBI: 0.5066 | SS: 0.4926
Fold 6 | Precision: 0.8866 | Recall: 0.7836 | F1 Score: 0.7884 | F1 Weighted Score: 0.8709 | ACC: 0.8806 | ARI: 0.7351 | MCC: 0.8276 | AUC: 0.9648 | PR AUC: 0.9212 | DBI: 0.4832 | SS: 0.5474
Fold 7 | Precision: 0.7610 | Recall: 0.7518 | F1 Score: 0.7309 | F1 Weighted Score: 0.7515 | ACC: 0.7761 | ARI: 0.5143 | MCC: 0.6753 | AUC: 0.9072 | PR AUC: 0.8197 | DBI: 0.7284 | SS: 0.5181
Fold 8 | Precision: 0.8490 | Recall: 0.8156 | F1 Score: 0.8264 | F1 Weighted Score: 0.8784 | ACC: 0.8806 | ARI: 0.7176 | MCC: 0.8065 | AUC: 0.9763 | PR AUC: 0.9485 | DBI: 0.6008 | SS: 0.5265
Fold 9 | Precision: 0.6858 | Recall: 0.6987 | F1 Score: 0.6917 | F1 Weighted Score: 0.8662 | ACC: 0.8806 | ARI: 0.7300 | MCC: 0.8265 | AUC: 0.9505 | PR AUC: 0.9010 | DBI: 0.6221 | SS: 0.5721
Final Result | Precision: 0.8350 � 0.0732 | Recall: 0.7794 � 0.0624 | F1 Score: 0.7829 � 0.0640 | F1 (Weighted): 0.8597 � 0.0442 | ACC: 0.8674 � 0.0392 | ARI: 0.7012 � 0.0848 | MCC: 0.7947 � 0.0574 | AUC: 0.9613 � 0.0215 | PR AUC: 0.9103 � 0.0399 | DBI: 0.5716 � 0.0827 | SS: 0.5065 � 0.0416
