Fold 0 | Precision: 0.8381 | Recall: 0.7383 | F1 Score: 0.7685 | F1 Weighted Score: 0.7618 | ACC: 0.7600 | ARI: 0.4102 | MCC: 0.6694 | AUC: 0.8752 | PR AUC: 0.7183 | DBI: 0.7955 | SS: 0.3171
Fold 1 | Precision: 0.8558 | Recall: 0.9375 | F1 Score: 0.8710 | F1 Weighted Score: 0.9218 | ACC: 0.9200 | ARI: 0.8050 | MCC: 0.8825 | AUC: 0.9611 | PR AUC: 0.9178 | DBI: 0.7045 | SS: 0.4262
Fold 2 | Precision: 0.7917 | Recall: 0.8083 | F1 Score: 0.7974 | F1 Weighted Score: 0.8408 | ACC: 0.8400 | ARI: 0.6951 | MCC: 0.7810 | AUC: 0.9787 | PR AUC: 0.9428 | DBI: 0.6570 | SS: 0.3162
Fold 3 | Precision: 0.8438 | Recall: 0.8773 | F1 Score: 0.8256 | F1 Weighted Score: 0.8837 | ACC: 0.8800 | ARI: 0.7777 | MCC: 0.8376 | AUC: 0.9776 | PR AUC: 0.9451 | DBI: 0.6652 | SS: 0.4037
Fold 4 | Precision: 0.7262 | Recall: 0.7545 | F1 Score: 0.7167 | F1 Weighted Score: 0.7573 | ACC: 0.7600 | ARI: 0.5325 | MCC: 0.6802 | AUC: 0.9344 | PR AUC: 0.8881 | DBI: 0.8514 | SS: 0.2884
Fold 5 | Precision: 0.8532 | Recall: 0.8542 | F1 Score: 0.8371 | F1 Weighted Score: 0.8363 | ACC: 0.8400 | ARI: 0.6018 | MCC: 0.7884 | AUC: 0.9584 | PR AUC: 0.8971 | DBI: 0.6257 | SS: 0.4413
Fold 6 | Precision: 0.5382 | Recall: 0.6171 | F1 Score: 0.5730 | F1 Weighted Score: 0.6754 | ACC: 0.7200 | ARI: 0.3967 | MCC: 0.6125 | AUC: 0.9504 | PR AUC: 0.8761 | DBI: 0.7833 | SS: 0.3546
Fold 7 | Precision: 0.8750 | Recall: 0.8042 | F1 Score: 0.7947 | F1 Weighted Score: 0.8502 | ACC: 0.8400 | ARI: 0.6805 | MCC: 0.7891 | AUC: 0.9552 | PR AUC: 0.8978 | DBI: 0.9539 | SS: 0.2513
Fold 8 | Precision: 0.5873 | Recall: 0.6146 | F1 Score: 0.5982 | F1 Weighted Score: 0.7335 | ACC: 0.7500 | ARI: 0.5060 | MCC: 0.6468 | AUC: 0.9172 | PR AUC: 0.8057 | DBI: 0.8975 | SS: 0.2073
Fold 9 | Precision: 0.6429 | Recall: 0.6411 | F1 Score: 0.6397 | F1 Weighted Score: 0.6741 | ACC: 0.6667 | ARI: 0.2945 | MCC: 0.5506 | AUC: 0.9091 | PR AUC: 0.8221 | DBI: 0.7760 | SS: 0.3170
Final Result | Precision: 0.7552 � 0.1178 | Recall: 0.7647 � 0.1070 | F1 Score: 0.7422 � 0.0998 | F1 (Weighted): 0.7935 � 0.0812 | ACC: 0.7977 � 0.0744 | ARI: 0.5700 � 0.1626 | MCC: 0.7238 � 0.1015 | AUC: 0.9417 � 0.0311 | PR AUC: 0.8711 � 0.0667 | DBI: 0.7710 � 0.1031 | SS: 0.3323 � 0.0715
