Fold 0 | Precision: 0.8604 | Recall: 0.7883 | F1 Score: 0.8151 | F1 Score (Weighted): 0.8029 | ACC: 0.8000 | ARI: 0.4684 | MCC: 0.7242 | AUC: 0.8821 | PR AUC: 0.7943 | DBI: 0.7653 | SS: 0.3412
Fold 1 | Precision: 0.8558 | Recall: 0.9375 | F1 Score: 0.8710 | F1 Score (Weighted): 0.9218 | ACC: 0.9200 | ARI: 0.8050 | MCC: 0.8825 | AUC: 0.9632 | PR AUC: 0.9217 | DBI: 0.5356 | SS: 0.5589
Fold 2 | Precision: 0.7667 | Recall: 0.7833 | F1 Score: 0.7689 | F1 Score (Weighted): 0.8085 | ACC: 0.8000 | ARI: 0.5983 | MCC: 0.7326 | AUC: 0.9856 | PR AUC: 0.9614 | DBI: 0.6120 | SS: 0.4014
Fold 3 | Precision: 0.8500 | Recall: 0.8773 | F1 Score: 0.8185 | F1 Score (Weighted): 0.8948 | ACC: 0.8800 | ARI: 0.8003 | MCC: 0.8435 | AUC: 0.9947 | PR AUC: 0.9851 | DBI: 0.8080 | SS: 0.4241
Fold 4 | Precision: 0.7857 | Recall: 0.7545 | F1 Score: 0.7163 | F1 Score (Weighted): 0.7600 | ACC: 0.7600 | ARI: 0.5057 | MCC: 0.6886 | AUC: 0.9147 | PR AUC: 0.8536 | DBI: 0.7079 | SS: 0.3214
Fold 5 | Precision: 0.8472 | Recall: 0.8264 | F1 Score: 0.7948 | F1 Score (Weighted): 0.8021 | ACC: 0.8000 | ARI: 0.5350 | MCC: 0.7584 | AUC: 0.9664 | PR AUC: 0.9324 | DBI: 0.6068 | SS: 0.4690
Fold 6 | Precision: 0.5464 | Recall: 0.6091 | F1 Score: 0.5709 | F1 Score (Weighted): 0.6748 | ACC: 0.7200 | ARI: 0.4113 | MCC: 0.6121 | AUC: 0.9488 | PR AUC: 0.8748 | DBI: 0.7521 | SS: 0.3861
Fold 7 | Precision: 0.8958 | Recall: 0.8667 | F1 Score: 0.8657 | F1 Score (Weighted): 0.8829 | ACC: 0.8800 | ARI: 0.6965 | MCC: 0.8294 | AUC: 0.9787 | PR AUC: 0.9544 | DBI: 0.7993 | SS: 0.3619
Fold 8 | Precision: 0.5687 | Recall: 0.6146 | F1 Score: 0.5855 | F1 Score (Weighted): 0.7113 | ACC: 0.7500 | ARI: 0.4720 | MCC: 0.6486 | AUC: 0.9306 | PR AUC: 0.8320 | DBI: 0.7869 | SS: 0.4163
Fold 9 | Precision: 0.6736 | Recall: 0.6455 | F1 Score: 0.6434 | F1 Score (Weighted): 0.6877 | ACC: 0.7083 | ARI: 0.4007 | MCC: 0.6008 | AUC: 0.9450 | PR AUC: 0.8726 | DBI: 0.8306 | SS: 0.2807
Final Result | Precision: 0.7650 � 0.1198 | Recall: 0.7703 � 0.1088 | F1 Score: 0.7450 � 0.1052 | F1 Score (Weighted): 0.7947 � 0.0826 | ACC: 0.8018 � 0.0679 | ARI: 0.5693 � 0.1429 | MCC: 0.7321 � 0.0926 | AUC: 0.9510 � 0.0328 | PR AUC: 0.8982 � 0.0590 | DBI: 0.7204 � 0.0962 | SS: 0.3961 � 0.0750
