(No Percentile Graph)
Fold 0 | Precision: 0.8048 | Recall: 0.7803 | F1 Score: 0.7821 | F1 Weighted Score: 0.7527 | ACC: 0.7692 | ARI: 0.4469 | MCC: 0.6156 | AUC: 0.9404 | PR AUC: 0.8751 | DBI: 0.7390 | SS: 0.3328
Fold 1 | Precision: 0.8592 | Recall: 0.7530 | F1 Score: 0.7890 | F1 Weighted Score: 0.8135 | ACC: 0.8154 | ARI: 0.5719 | MCC: 0.7289 | AUC: 0.9522 | PR AUC: 0.8937 | DBI: 0.6976 | SS: 0.4565
Fold 2 | Precision: 0.6300 | Recall: 0.6408 | F1 Score: 0.6335 | F1 Weighted Score: 0.7175 | ACC: 0.7231 | ARI: 0.3817 | MCC: 0.5418 | AUC: 0.9230 | PR AUC: 0.8500 | DBI: 0.9297 | SS: 0.3211
Fold 3 | Precision: 0.8801 | Recall: 0.8968 | F1 Score: 0.8803 | F1 Weighted Score: 0.8909 | ACC: 0.8923 | ARI: 0.6997 | MCC: 0.8323 | AUC: 0.9690 | PR AUC: 0.9332 | DBI: 0.6696 | SS: 0.4489
Fold 4 | Precision: 0.7687 | Recall: 0.8309 | F1 Score: 0.7954 | F1 Weighted Score: 0.8509 | ACC: 0.8462 | ARI: 0.6339 | MCC: 0.7505 | AUC: 0.9681 | PR AUC: 0.9322 | DBI: 0.6986 | SS: 0.4563
Fold 5 | Precision: 0.8230 | Recall: 0.8379 | F1 Score: 0.8117 | F1 Weighted Score: 0.7999 | ACC: 0.8154 | ARI: 0.5478 | MCC: 0.7073 | AUC: 0.9596 | PR AUC: 0.9034 | DBI: 0.6309 | SS: 0.4335
Fold 6 | Precision: 0.8201 | Recall: 0.7898 | F1 Score: 0.7946 | F1 Weighted Score: 0.8693 | ACC: 0.8750 | ARI: 0.7117 | MCC: 0.7727 | AUC: 0.9789 | PR AUC: 0.9505 | DBI: 0.5574 | SS: 0.4442
Fold 7 | Precision: 0.7416 | Recall: 0.8795 | F1 Score: 0.7683 | F1 Weighted Score: 0.8661 | ACC: 0.8594 | ARI: 0.6557 | MCC: 0.7592 | AUC: 0.9731 | PR AUC: 0.9445 | DBI: 0.8858 | SS: 0.3527
Fold 8 | Precision: 0.7812 | Recall: 0.7103 | F1 Score: 0.7050 | F1 Weighted Score: 0.8054 | ACC: 0.8125 | ARI: 0.6239 | MCC: 0.6869 | AUC: 0.9624 | PR AUC: 0.9203 | DBI: 0.6183 | SS: 0.4516
Fold 9 | Precision: 0.8090 | Recall: 0.7662 | F1 Score: 0.7828 | F1 Weighted Score: 0.8380 | ACC: 0.8438 | ARI: 0.6566 | MCC: 0.7516 | AUC: 0.9542 | PR AUC: 0.8970 | DBI: 0.7926 | SS: 0.4202
Final Result | Precision: 0.7918 � 0.0663 | Recall: 0.7885 � 0.0735 | F1 Score: 0.7743 � 0.0621 | F1 (Weighted): 0.8204 � 0.0515 | ACC: 0.8252 � 0.0478 | ARI: 0.5930 � 0.1023 | MCC: 0.7147 � 0.0791 | AUC: 0.9581 � 0.0158 | PR AUC: 0.9100 � 0.0304 | DBI: 0.7219 � 0.1119 | SS: 0.4118 � 0.0515
