(No Percentile Graph)
Fold 0 | Precision: 0.8253 | Recall: 0.7853 | F1 Score: 0.7701 | F1 Score (Weighted): 0.8189 | ACC: 0.8308 | ARI: 0.5772 | MCC: 0.7008 | AUC: 0.9493 | PR AUC: 0.8958 | DBI: 0.7003 | SS: 0.3765
Fold 1 | Precision: 0.8726 | Recall: 0.8201 | F1 Score: 0.8391 | F1 Score (Weighted): 0.9014 | ACC: 0.9077 | ARI: 0.7753 | MCC: 0.8339 | AUC: 0.9764 | PR AUC: 0.9567 | DBI: 0.7513 | SS: 0.3393
Fold 2 | Precision: 0.9313 | Recall: 0.8281 | F1 Score: 0.8634 | F1 Score (Weighted): 0.8668 | ACC: 0.8769 | ARI: 0.6925 | MCC: 0.8146 | AUC: 0.9678 | PR AUC: 0.9419 | DBI: 0.5620 | SS: 0.4880
Fold 3 | Precision: 0.8095 | Recall: 0.8083 | F1 Score: 0.8005 | F1 Score (Weighted): 0.8160 | ACC: 0.8308 | ARI: 0.6204 | MCC: 0.7105 | AUC: 0.9737 | PR AUC: 0.9329 | DBI: 0.6772 | SS: 0.4435
Fold 4 | Precision: 0.7771 | Recall: 0.8291 | F1 Score: 0.7921 | F1 Score (Weighted): 0.8102 | ACC: 0.8154 | ARI: 0.5613 | MCC: 0.7070 | AUC: 0.9416 | PR AUC: 0.8694 | DBI: 0.7690 | SS: 0.3824
Fold 5 | Precision: 0.8354 | Recall: 0.8227 | F1 Score: 0.8266 | F1 Score (Weighted): 0.8618 | ACC: 0.8615 | ARI: 0.6558 | MCC: 0.7737 | AUC: 0.9520 | PR AUC: 0.9219 | DBI: 0.6518 | SS: 0.4408
Fold 6 | Precision: 0.8688 | Recall: 0.8410 | F1 Score: 0.8465 | F1 Score (Weighted): 0.8682 | ACC: 0.8750 | ARI: 0.6828 | MCC: 0.7856 | AUC: 0.9615 | PR AUC: 0.9149 | DBI: 0.6122 | SS: 0.4554
Fold 7 | Precision: 0.8419 | Recall: 0.7403 | F1 Score: 0.7409 | F1 Score (Weighted): 0.8482 | ACC: 0.8438 | ARI: 0.6295 | MCC: 0.7377 | AUC: 0.9714 | PR AUC: 0.9431 | DBI: 0.5494 | SS: 0.4072
Fold 8 | Precision: 0.7500 | Recall: 0.6975 | F1 Score: 0.7118 | F1 Score (Weighted): 0.7419 | ACC: 0.7500 | ARI: 0.4702 | MCC: 0.6439 | AUC: 0.9444 | PR AUC: 0.8740 | DBI: 0.6612 | SS: 0.4045
Fold 9 | Precision: 0.8361 | Recall: 0.6572 | F1 Score: 0.6852 | F1 Score (Weighted): 0.7656 | ACC: 0.7656 | ARI: 0.4577 | MCC: 0.6347 | AUC: 0.9141 | PR AUC: 0.8475 | DBI: 0.5388 | SS: 0.4434
Final Result | Precision: 0.8348 � 0.0481 | Recall: 0.7830 � 0.0601 | F1 Score: 0.7876 � 0.0568 | F1 Score (Weighted): 0.8299 � 0.0468 | ACC: 0.8357 � 0.0468 | ARI: 0.6123 � 0.0939 | MCC: 0.7342 � 0.0641 | AUC: 0.9552 � 0.0181 | PR AUC: 0.9098 � 0.0347 | DBI: 0.6473 � 0.0771 | SS: 0.4181 � 0.0419
