(No Percentile Graph)
Fold 0 | Precision: 0.6354 | Recall: 0.6414 | F1 Score: 0.6361 | F1 Weighted Score: 0.7779 | ACC: 0.7846 | ARI: 0.5687 | MCC: 0.6497 | AUC: 0.9292 | PR AUC: 0.8592 | DBI: 0.7857 | SS: 0.3439
Fold 1 | Precision: 0.9115 | Recall: 0.9407 | F1 Score: 0.9247 | F1 Weighted Score: 0.9231 | ACC: 0.9231 | ARI: 0.7743 | MCC: 0.8779 | AUC: 0.9931 | PR AUC: 0.9815 | DBI: 0.5656 | SS: 0.4882
Fold 2 | Precision: 0.8115 | Recall: 0.8300 | F1 Score: 0.8182 | F1 Weighted Score: 0.8440 | ACC: 0.8462 | ARI: 0.6431 | MCC: 0.7576 | AUC: 0.9751 | PR AUC: 0.9439 | DBI: 0.8755 | SS: 0.3546
Fold 3 | Precision: 0.6962 | Recall: 0.6595 | F1 Score: 0.6648 | F1 Weighted Score: 0.7621 | ACC: 0.7692 | ARI: 0.4549 | MCC: 0.5704 | AUC: 0.9448 | PR AUC: 0.8822 | DBI: 0.9843 | SS: 0.3453
Fold 4 | Precision: 0.8263 | Recall: 0.7154 | F1 Score: 0.7379 | F1 Weighted Score: 0.8103 | ACC: 0.8154 | ARI: 0.5734 | MCC: 0.6856 | AUC: 0.9508 | PR AUC: 0.9031 | DBI: 0.7060 | SS: 0.3226
Fold 5 | Precision: 0.8983 | Recall: 0.7268 | F1 Score: 0.7686 | F1 Weighted Score: 0.8380 | ACC: 0.8462 | ARI: 0.6324 | MCC: 0.7641 | AUC: 0.9543 | PR AUC: 0.9132 | DBI: 0.4698 | SS: 0.4876
Fold 6 | Precision: 0.8874 | Recall: 0.8701 | F1 Score: 0.8780 | F1 Weighted Score: 0.8583 | ACC: 0.8594 | ARI: 0.6391 | MCC: 0.7767 | AUC: 0.9517 | PR AUC: 0.9010 | DBI: 0.5972 | SS: 0.4691
Fold 7 | Precision: 0.7979 | Recall: 0.7562 | F1 Score: 0.7723 | F1 Weighted Score: 0.7742 | ACC: 0.7812 | ARI: 0.4663 | MCC: 0.6355 | AUC: 0.9146 | PR AUC: 0.8305 | DBI: 0.6248 | SS: 0.4107
Fold 8 | Precision: 0.8861 | Recall: 0.8690 | F1 Score: 0.8641 | F1 Weighted Score: 0.8967 | ACC: 0.9062 | ARI: 0.7595 | MCC: 0.8200 | AUC: 0.9830 | PR AUC: 0.9615 | DBI: 0.6170 | SS: 0.4493
Fold 9 | Precision: 0.7962 | Recall: 0.8047 | F1 Score: 0.7968 | F1 Weighted Score: 0.8573 | ACC: 0.8594 | ARI: 0.7231 | MCC: 0.7832 | AUC: 0.9740 | PR AUC: 0.9448 | DBI: 0.5969 | SS: 0.4636
Final Result | Precision: 0.8147 � 0.0858 | Recall: 0.7814 � 0.0929 | F1 Score: 0.7862 � 0.0865 | F1 (Weighted): 0.8342 � 0.0506 | ACC: 0.8391 � 0.0492 | ARI: 0.6235 � 0.1051 | MCC: 0.7321 � 0.0893 | AUC: 0.9571 � 0.0232 | PR AUC: 0.9121 � 0.0446 | DBI: 0.6823 � 0.1486 | SS: 0.4135 � 0.0626
