(No Percentile Graph)
Fold 0 | Precision: 0.8004 | Recall: 0.8115 | F1 Score: 0.8012 | F1 Score (Weighted): 0.7908 | ACC: 0.8000 | ARI: 0.5118 | MCC: 0.6707 | AUC: 0.9401 | PR AUC: 0.8773 | DBI: 0.8031 | SS: 0.3487
Fold 1 | Precision: 0.8519 | Recall: 0.7444 | F1 Score: 0.7810 | F1 Score (Weighted): 0.7993 | ACC: 0.8000 | ARI: 0.5218 | MCC: 0.7057 | AUC: 0.9223 | PR AUC: 0.8682 | DBI: 0.5463 | SS: 0.4690
Fold 2 | Precision: 0.6557 | Recall: 0.6337 | F1 Score: 0.6392 | F1 Score (Weighted): 0.7010 | ACC: 0.7077 | ARI: 0.3354 | MCC: 0.5127 | AUC: 0.9053 | PR AUC: 0.8295 | DBI: 0.8751 | SS: 0.2841
Fold 3 | Precision: 0.8673 | Recall: 0.8968 | F1 Score: 0.8759 | F1 Score (Weighted): 0.8909 | ACC: 0.8923 | ARI: 0.7226 | MCC: 0.8318 | AUC: 0.9677 | PR AUC: 0.9372 | DBI: 0.6668 | SS: 0.4608
Fold 4 | Precision: 0.8232 | Recall: 0.8536 | F1 Score: 0.8335 | F1 Score (Weighted): 0.8677 | ACC: 0.8615 | ARI: 0.6448 | MCC: 0.7767 | AUC: 0.9590 | PR AUC: 0.9294 | DBI: 0.6614 | SS: 0.4741
Fold 5 | Precision: 0.7547 | Recall: 0.7808 | F1 Score: 0.7606 | F1 Score (Weighted): 0.7721 | ACC: 0.7846 | ARI: 0.5155 | MCC: 0.6546 | AUC: 0.9523 | PR AUC: 0.8937 | DBI: 0.7209 | SS: 0.4018
Fold 6 | Precision: 0.8177 | Recall: 0.7773 | F1 Score: 0.7936 | F1 Score (Weighted): 0.8869 | ACC: 0.8906 | ARI: 0.7858 | MCC: 0.8002 | AUC: 0.9833 | PR AUC: 0.9577 | DBI: 0.6946 | SS: 0.4061
Fold 7 | Precision: 0.9396 | Recall: 0.9397 | F1 Score: 0.9381 | F1 Score (Weighted): 0.9231 | ACC: 0.9219 | ARI: 0.7572 | MCC: 0.8652 | AUC: 0.9915 | PR AUC: 0.9800 | DBI: 0.4170 | SS: 0.5499
Fold 8 | Precision: 0.7581 | Recall: 0.6746 | F1 Score: 0.6771 | F1 Score (Weighted): 0.7875 | ACC: 0.7969 | ARI: 0.5955 | MCC: 0.6556 | AUC: 0.9539 | PR AUC: 0.8972 | DBI: 0.5811 | SS: 0.4031
Fold 9 | Precision: 0.8317 | Recall: 0.7841 | F1 Score: 0.8028 | F1 Score (Weighted): 0.8555 | ACC: 0.8594 | ARI: 0.6628 | MCC: 0.7773 | AUC: 0.9703 | PR AUC: 0.9309 | DBI: 0.7122 | SS: 0.3997
Final Result | Precision: 0.8100 � 0.0722 | Recall: 0.7896 � 0.0886 | F1 Score: 0.7903 � 0.0824 | F1 Score (Weighted): 0.8275 � 0.0647 | ACC: 0.8315 � 0.0614 | ARI: 0.6053 � 0.1308 | MCC: 0.7251 � 0.1002 | AUC: 0.9546 � 0.0251 | PR AUC: 0.9101 � 0.0430 | DBI: 0.6679 � 0.1233 | SS: 0.4197 � 0.0698
