Fold 0 | Precision: 0.8230 | Recall: 0.8195 | F1 Score: 0.8197 | F1 Score (Weighted): 0.8296 | ACC: 0.8276 | ARI: 0.6015 | MCC: 0.7685 | AUC: 0.9544 | PR AUC: 0.8930 | DBI: 0.6322 | SS: 0.4680
Fold 1 | Precision: 0.9083 | Recall: 0.9479 | F1 Score: 0.9220 | F1 Score (Weighted): 0.9326 | ACC: 0.9310 | ARI: 0.8272 | MCC: 0.9069 | AUC: 0.9968 | PR AUC: 0.9907 | DBI: 0.7682 | SS: 0.4396
Fold 2 | Precision: 0.9437 | Recall: 0.9226 | F1 Score: 0.9282 | F1 Score (Weighted): 0.9302 | ACC: 0.9310 | ARI: 0.8152 | MCC: 0.9099 | AUC: 0.9960 | PR AUC: 0.9890 | DBI: 0.8223 | SS: 0.3789
Fold 3 | Precision: 0.9306 | Recall: 0.8542 | F1 Score: 0.8769 | F1 Score (Weighted): 0.8923 | ACC: 0.8966 | ARI: 0.7276 | MCC: 0.8613 | AUC: 0.9758 | PR AUC: 0.9423 | DBI: 0.6625 | SS: 0.3394
Fold 4 | Precision: 0.8810 | Recall: 0.8976 | F1 Score: 0.8867 | F1 Score (Weighted): 0.8935 | ACC: 0.8929 | ARI: 0.7355 | MCC: 0.8564 | AUC: 0.9830 | PR AUC: 0.9517 | DBI: 0.6295 | SS: 0.4778
Fold 5 | Precision: 0.8740 | Recall: 0.8651 | F1 Score: 0.8491 | F1 Score (Weighted): 0.8490 | ACC: 0.8571 | ARI: 0.6327 | MCC: 0.8184 | AUC: 0.9749 | PR AUC: 0.9387 | DBI: 0.6700 | SS: 0.4322
Fold 6 | Precision: 0.9750 | Recall: 0.9750 | F1 Score: 0.9737 | F1 Score (Weighted): 0.9643 | ACC: 0.9643 | ARI: 0.8768 | MCC: 0.9516 | AUC: 0.9966 | PR AUC: 0.9905 | DBI: 0.6346 | SS: 0.4705
Fold 7 | Precision: 0.7762 | Recall: 0.7729 | F1 Score: 0.7639 | F1 Score (Weighted): 0.7835 | ACC: 0.7857 | ARI: 0.5479 | MCC: 0.7170 | AUC: 0.9647 | PR AUC: 0.9149 | DBI: 0.8399 | SS: 0.3435
Fold 8 | Precision: 0.8438 | Recall: 0.8875 | F1 Score: 0.8365 | F1 Score (Weighted): 0.8671 | ACC: 0.8571 | ARI: 0.6615 | MCC: 0.8204 | AUC: 0.9681 | PR AUC: 0.9227 | DBI: 0.7504 | SS: 0.4600
Fold 9 | Precision: 0.8708 | Recall: 0.9056 | F1 Score: 0.8829 | F1 Score (Weighted): 0.8944 | ACC: 0.8929 | ARI: 0.7287 | MCC: 0.8526 | AUC: 0.9732 | PR AUC: 0.9365 | DBI: 0.7944 | SS: 0.3765
Final Result | Precision: 0.8826 � 0.0564 | Recall: 0.8848 � 0.0568 | F1 Score: 0.8740 � 0.0570 | F1 Score (Weighted): 0.8837 � 0.0508 | ACC: 0.8836 � 0.0505 | ARI: 0.7155 � 0.1000 | MCC: 0.8463 � 0.0659 | AUC: 0.9784 � 0.0138 | PR AUC: 0.9470 � 0.0321 | DBI: 0.7204 � 0.0791 | SS: 0.4187 � 0.0512
