Fold 0 | Precision: 0.8194 | Recall: 0.8076 | F1 Score: 0.7903 | F1 Weighted Score: 0.7856 | ACC: 0.7931 | ARI: 0.4756 | MCC: 0.7387 | AUC: 0.9088 | PR AUC: 0.7981 | DBI: 0.8490 | SS: 0.2619
Fold 1 | Precision: 0.8557 | Recall: 0.8771 | F1 Score: 0.8606 | F1 Weighted Score: 0.8638 | ACC: 0.8621 | ARI: 0.6428 | MCC: 0.8184 | AUC: 0.9497 | PR AUC: 0.8944 | DBI: 0.8334 | SS: 0.3689
Fold 2 | Precision: 0.8667 | Recall: 0.8536 | F1 Score: 0.8551 | F1 Weighted Score: 0.8685 | ACC: 0.8621 | ARI: 0.6614 | MCC: 0.8172 | AUC: 0.9853 | PR AUC: 0.9612 | DBI: 0.7615 | SS: 0.3993
Fold 3 | Precision: 0.9187 | Recall: 0.9330 | F1 Score: 0.9217 | F1 Weighted Score: 0.9316 | ACC: 0.9310 | ARI: 0.8397 | MCC: 0.9072 | AUC: 0.9810 | PR AUC: 0.9490 | DBI: 0.6621 | SS: 0.4638
Fold 4 | Precision: 0.8506 | Recall: 0.8444 | F1 Score: 0.8464 | F1 Weighted Score: 0.8225 | ACC: 0.8214 | ARI: 0.5041 | MCC: 0.7518 | AUC: 0.9605 | PR AUC: 0.9008 | DBI: 0.8769 | SS: 0.3607
Fold 5 | Precision: 0.8893 | Recall: 0.8611 | F1 Score: 0.8554 | F1 Weighted Score: 0.8564 | ACC: 0.8571 | ARI: 0.6210 | MCC: 0.8212 | AUC: 0.9792 | PR AUC: 0.9461 | DBI: 0.8302 | SS: 0.3303
Fold 6 | Precision: 0.8250 | Recall: 0.8750 | F1 Score: 0.8162 | F1 Weighted Score: 0.8626 | ACC: 0.8571 | ARI: 0.6593 | MCC: 0.8089 | AUC: 0.9656 | PR AUC: 0.9115 | DBI: 0.7552 | SS: 0.3703
Fold 7 | Precision: 0.6580 | Recall: 0.6437 | F1 Score: 0.6463 | F1 Weighted Score: 0.6717 | ACC: 0.6786 | ARI: 0.3349 | MCC: 0.5640 | AUC: 0.8856 | PR AUC: 0.7201 | DBI: 0.8912 | SS: 0.3206
Fold 8 | Precision: 0.8313 | Recall: 0.7812 | F1 Score: 0.7873 | F1 Weighted Score: 0.7916 | ACC: 0.7857 | ARI: 0.4462 | MCC: 0.7223 | AUC: 0.9439 | PR AUC: 0.8659 | DBI: 0.8750 | SS: 0.2840
Fold 9 | Precision: 0.8229 | Recall: 0.7911 | F1 Score: 0.7962 | F1 Weighted Score: 0.7877 | ACC: 0.7857 | ARI: 0.4478 | MCC: 0.7130 | AUC: 0.9656 | PR AUC: 0.9244 | DBI: 0.6073 | SS: 0.4750
Final Result | Precision: 0.8338 � 0.0659 | Recall: 0.8268 � 0.0746 | F1 Score: 0.8175 � 0.0692 | F1 (Weighted): 0.8242 � 0.0669 | ACC: 0.8234 � 0.0645 | ARI: 0.5633 � 0.1397 | MCC: 0.7663 � 0.0875 | AUC: 0.9525 � 0.0308 | PR AUC: 0.8872 � 0.0716 | DBI: 0.7942 � 0.0914 | SS: 0.3635 � 0.0659
