Fold 0 | Precision: 0.7750 | Recall: 0.7839 | F1 Score: 0.7574 | ACC: 0.8000 | ARI: 0.5077 | MCC: 0.6444 | AUC: 0.9595 | PR AUC: 0.9046 | DBI: 0.4092 | SS: 0.7557
Fold 1 | Precision: 0.7611 | Recall: 0.7736 | F1 Score: 0.7626 | ACC: 0.8462 | ARI: 0.6682 | MCC: 0.7320 | AUC: 0.9714 | PR AUC: 0.9353 | DBI: 0.4068 | SS: 0.7223
Fold 2 | Precision: 0.9262 | Recall: 0.8518 | F1 Score: 0.8793 | ACC: 0.8923 | ARI: 0.7186 | MCC: 0.8338 | AUC: 0.9916 | PR AUC: 0.9777 | DBI: 0.3743 | SS: 0.7444
Fold 3 | Precision: 0.9045 | Recall: 0.8083 | F1 Score: 0.8445 | ACC: 0.8462 | ARI: 0.5691 | MCC: 0.7336 | AUC: 0.9795 | PR AUC: 0.9470 | DBI: 0.4514 | SS: 0.6689
Fold 4 | Precision: 0.7711 | Recall: 0.8545 | F1 Score: 0.7892 | ACC: 0.8462 | ARI: 0.6425 | MCC: 0.7590 | AUC: 0.9707 | PR AUC: 0.9368 | DBI: 0.4753 | SS: 0.6990
Fold 5 | Precision: 0.8490 | Recall: 0.8465 | F1 Score: 0.8458 | ACC: 0.8615 | ARI: 0.6118 | MCC: 0.7709 | AUC: 0.9607 | PR AUC: 0.9130 | DBI: 0.3132 | SS: 0.7710
Fold 6 | Precision: 0.7354 | Recall: 0.7445 | F1 Score: 0.7318 | ACC: 0.7969 | ARI: 0.5595 | MCC: 0.6515 | AUC: 0.9560 | PR AUC: 0.9017 | DBI: 0.3131 | SS: 0.7890
Fold 7 | Precision: 0.8615 | Recall: 0.7465 | F1 Score: 0.7544 | ACC: 0.8594 | ARI: 0.6753 | MCC: 0.7606 | AUC: 0.9796 | PR AUC: 0.9474 | DBI: 0.3156 | SS: 0.7976
Fold 8 | Precision: 0.7542 | Recall: 0.7332 | F1 Score: 0.7415 | ACC: 0.7656 | ARI: 0.4848 | MCC: 0.6677 | AUC: 0.9568 | PR AUC: 0.8993 | DBI: 0.5160 | SS: 0.6590
Fold 9 | Precision: 0.6624 | Recall: 0.5884 | F1 Score: 0.6109 | ACC: 0.6875 | ARI: 0.3686 | MCC: 0.5154 | AUC: 0.9218 | PR AUC: 0.8235 | DBI: 0.4951 | SS: 0.7277
Final Result | Precision: 0.8000 � 0.0782 | Recall: 0.7731 � 0.0753 | F1 Score: 0.7717 � 0.0718 | ACC: 0.8202 � 0.0566 | ARI: 0.5806 � 0.1003 | MCC: 0.7069 � 0.0850 | AUC: 0.9647 � 0.0181 | PR AUC: 0.9186 � 0.0396 | DBI: 0.4070 � 0.0730 | SS: 0.7335 � 0.0450
