Fold 0 | Precision: 0.8491 | Recall: 0.8698 | F1 Score: 0.8508 | ACC: 0.8462 | ARI: 0.5979 | MCC: 0.7503 | AUC: 0.9686 | PR AUC: 0.9316 | DBI: 0.5382 | SS: 0.6801
Fold 1 | Precision: 0.8659 | Recall: 0.7530 | F1 Score: 0.7916 | ACC: 0.8154 | ARI: 0.5553 | MCC: 0.7293 | AUC: 0.9633 | PR AUC: 0.9153 | DBI: 0.2963 | SS: 0.7844
Fold 2 | Precision: 0.5800 | Recall: 0.6385 | F1 Score: 0.6010 | ACC: 0.6923 | ARI: 0.3279 | MCC: 0.5258 | AUC: 0.9237 | PR AUC: 0.8525 | DBI: 0.7922 | SS: 0.5198
Fold 3 | Precision: 0.8012 | Recall: 0.7777 | F1 Score: 0.7765 | ACC: 0.8462 | ARI: 0.6311 | MCC: 0.7604 | AUC: 0.9725 | PR AUC: 0.9328 | DBI: 0.4424 | SS: 0.7498
Fold 4 | Precision: 0.8763 | Recall: 0.8536 | F1 Score: 0.8539 | ACC: 0.8615 | ARI: 0.6435 | MCC: 0.7775 | AUC: 0.9799 | PR AUC: 0.9484 | DBI: 0.2846 | SS: 0.8177
Fold 5 | Precision: 0.8902 | Recall: 0.8451 | F1 Score: 0.8470 | ACC: 0.8308 | ARI: 0.5632 | MCC: 0.7340 | AUC: 0.9616 | PR AUC: 0.9259 | DBI: 0.3136 | SS: 0.7531
Fold 6 | Precision: 0.6896 | Recall: 0.6960 | F1 Score: 0.6879 | ACC: 0.7969 | ARI: 0.5604 | MCC: 0.6476 | AUC: 0.9524 | PR AUC: 0.8984 | DBI: 0.3096 | SS: 0.8262
Fold 7 | Precision: 0.7361 | Recall: 0.8795 | F1 Score: 0.7652 | ACC: 0.8594 | ARI: 0.6771 | MCC: 0.7624 | AUC: 0.9811 | PR AUC: 0.9557 | DBI: 0.4589 | SS: 0.7633
Fold 8 | Precision: 0.7473 | Recall: 0.6812 | F1 Score: 0.6915 | ACC: 0.8125 | ARI: 0.5967 | MCC: 0.6750 | AUC: 0.9649 | PR AUC: 0.9236 | DBI: 0.5037 | SS: 0.6936
Fold 9 | Precision: 0.7559 | Recall: 0.7359 | F1 Score: 0.7443 | ACC: 0.7812 | ARI: 0.5022 | MCC: 0.6544 | AUC: 0.9666 | PR AUC: 0.9170 | DBI: 0.3985 | SS: 0.7063
Final Result | Precision: 0.7792 � 0.0926 | Recall: 0.7730 � 0.0816 | F1 Score: 0.7610 � 0.0783 | ACC: 0.8142 � 0.0478 | ARI: 0.5655 � 0.0925 | MCC: 0.7017 � 0.0734 | AUC: 0.9635 � 0.0155 | PR AUC: 0.9201 � 0.0274 | DBI: 0.4338 � 0.1474 | SS: 0.7294 � 0.0840
